Decal_Recipient,Closed_Moved,Location,Year,Category,SubminusCategory
JP Morgan Chase,,100 S College Ave,2012,Professional Office,
Kay Jewelers,,College Mall,1993,Retail,Jewelry
King Dough,,108 W. 6th St.,2016,Restaurant/Bar,Pizza
Knutson, Dr. Gary,,840 W 17th St #5,2001,Medical,
Kohls,,3140 W Whitehall Crossing Blvd,2012,Retail,General Department Store
Kroger East Side,,1175 S College Mall Rd,2015,Grocery/Specialty Foods,
Lennies,,1795 E 10th St,2011,Restaurant/Bar,Italian
Lifestyle Kitchens and Bath,,840 W 17th St #3,2010,Retail,Kitchen Remodeler
Lil Bubs,,236 N. Morton St,2017,Resturant,
Luckys Market,,2424 S Walnut St,2015,Grocery/Specialty Foods,
Main Source,,101 W. Kirkwood Ave, Suite 116,2017,Bank,
Malibu Grill,,106 N Walnut St,2015,Restaurant/Bar,American
Marsh,,123 Kingston Dr S,2009,Grocery/Specialty Foods,
Marsh,,1825 N Kinser Pk,2009,Grocery/Specialty Foods,
MedExpress,,123 S Franklin Rd,2015,Medical,
Michaels Uptown Caf,,102 E Kirkwood Ave,2016,Restaurant/Bar,Cajun
Millennium Properties,,1200 Rolling Ridge Way,2009,Professional Office,Property Rental
Monroe County Public Library, Bloomington,,303 E Kirkwood Ave,2001,Community Center,
Mr. Hibachi,,4400 E 3rd St,2014,Restaurant/Bar,Chinese Buffet
No Coast Reserve,Moved,105 N College Ave,,2015,Restaurant/Bar,
Northwest YMCA,,1375 N Wellness Way,2016,Community Center,
Not Just Rugs,,1117 N College Ave,2011,Retail,Native American Goods
Old National Bank,,300 E Kirkwood Ave,2016,Bank,
Old Navy,,College Mall,2009,Retail,Clothing
Olive Garden,,320 North Jacobs Dr,2015,Restaurant/Bar,Italian
Opie Taylors,,110 N. Walnut St,2017,Resturant,
Ossip Optometry (formerly Optiks),,101 W Kirkwood Ave Suite 120,2011,Medical,
Panera Bread,,322 S College Mall Rd,2009,Restaurant/Bar,Bakery/Sandwiches
Pearl Vision Center,,College Mall,1993,Medical,
Peoples State Bank,,525 S Clarizz Blvd,2009,Bank,
Petsmart,,240 N Gates Dr,2014,Retail,Pet Services
Pizza X,,1791 E 10th St,2011,Restaurant/Bar,Pizza
Premier Healthcare - Landmark Medical Center,,550 S Landmark Ave,2014,Medical,
Radio Shack,,College Mall,1993,Retail,Electronics
Rainbow Bakery and Caf,,201 S Rogers St,2015,Restaurant/Bar,Bakery
Red Lobster,,2617 E. Third St.,2016,Restaurant/Bar,
Red Mango,,1793 E 10th St,2011,Restaurant/Bar,Frozen Yogurt
Relish,,204 N Morton St,2012,Retail,Furniture
Revolution Bike and Bean,,401 E 10th St,2011,Retail,
Sallys Beauty Supply,,,2001,Retail,
Scholars Inn Bakehouse,,3002 E 3rd St,2009,Restaurant/Bar,Bakery/Sandwiches
Scottys Brewhouse,,302 N Walnut St,2015,Restaurant/Bar,American
